"","GSE30577_Rabies_vs_Control"
"11744",4.1996
"11745",3.6475
"11746",5.9004
"11747",-0.1078
"11749",-2.2294
"11750",-1.5558
"11752",0.4508
"11754",0.8874
"11758",1.0376
"117586",1.5145
"117589",-0.390066666666667
"117590",-1.5996
"117591",1.325
"117599",1.40753333333333
"117600",0.521325
"117606",-1.0711
"11761",0.4978
"11764",0.7665
"11765",0.69765
"11766",3.4133
"11767",-1.1732
"11768",-0.5149
"11769",0.8246
"11770",1.19343333333333
"11772",-0.4581
"11773",-1.1998
"11776",-0.31605
"11777",-0.40125
"11778",-0.0728
"11781",0.7208
"11783",2.89086666666667
"11787",0.3771
"11789",0.6194
"11790",0.52505
"11792",-1.2721
"11793",-0.9639
"11796",4.6806
"117962243",-0.17605
"11797",2.7381
"11798",-0.870733333333333
"11799",3.8082
"11800",-0.7555
"11801",0.1569
"11803",-0.1156
"11804",-2.7618
"11806",0.9941
"11807",-0.6157
"11808",1.0258
"11810",5.32125
"11811",-0.7688
"11812",-0.6995
"11814",5.79335
"11815",5.977
"11819",-0.7287
"11820",-0.8806
"11821",3.649
"11826",-1.2313
"11827",0.996
"11828",1.4524
"11829",2.22843333333333
"11831",-0.2623
"11832",1.39865
"11833",0.0644
"11834",-1.37613333333333
"11836",2.36
"11837",2.7698
"11839",0.8241
"11840",-0.14325
"11841",1.9183
"11842",0.3888
"11843",5.0894
"11844",0.3138
"118446",0.3555
"118449",1.4688
"11845",2.602
"118451",1.15585
"118453",3.7257
"11846",5.603
